INFO 2025-04-12 17:32:17,854 autoreload 10704 17548 Watching for file changes with StatReloader
INFO 2025-04-12 17:39:19,821 basehttp 10704 2440 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:39:22,802 basehttp 10704 2440 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:39:22,803 basehttp 10704 14488 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:39:22,806 basehttp 10704 18224 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:39:22,820 basehttp 10704 22716 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:39:27,323 basehttp 10704 22716 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:39:27,333 basehttp 10704 18224 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:39:27,340 basehttp 10704 15272 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:39:27,340 basehttp 10704 1328 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:39:30,756 basehttp 10704 15272 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:39:30,756 basehttp 10704 1328 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:39:30,764 basehttp 10704 11888 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:39:30,771 basehttp 10704 19952 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:39:37,325 basehttp 10704 19952 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:39:37,325 basehttp 10704 11888 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:39:37,328 basehttp 10704 18892 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:39:37,337 basehttp 10704 8092 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:39:46,151 basehttp 10704 18892 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:39:46,151 basehttp 10704 8092 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:39:46,166 basehttp 10704 19712 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:39:46,170 basehttp 10704 19032 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:39:49,974 basehttp 10704 19032 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:39:49,974 basehttp 10704 19712 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:39:49,989 basehttp 10704 12700 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:39:49,990 basehttp 10704 11564 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:39:57,300 basehttp 10704 11564 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:40:03,504 basehttp 10704 12700 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:40:03,504 basehttp 10704 11564 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:40:03,528 basehttp 10704 9536 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:40:03,528 basehttp 10704 3292 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:40:14,518 basehttp 10704 3292 "GET /he/ww2map/ HTTP/1.1" 200 3434
INFO 2025-04-12 17:40:14,550 basehttp 10704 3292 "GET /static/mapapp/css/styles.css HTTP/1.1" 304 0
INFO 2025-04-12 17:40:14,587 basehttp 10704 3292 "GET /static/mapapp/js/modalHandler.js HTTP/1.1" 200 7261
INFO 2025-04-12 17:40:14,588 basehttp 10704 9536 "GET /static/mapapp/js/countryClickHandler.js HTTP/1.1" 200 3099
INFO 2025-04-12 17:40:15,794 basehttp 10704 9536 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:40:15,804 basehttp 10704 3292 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:40:17,380 basehttp 10704 3292 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:40:17,380 basehttp 10704 7936 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:40:17,391 basehttp 10704 14764 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:40:17,395 basehttp 10704 12976 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:40:21,078 basehttp 10704 12976 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:40:21,078 basehttp 10704 14764 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:40:21,091 basehttp 10704 8320 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:40:21,091 basehttp 10704 9096 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:40:24,525 basehttp 10704 8320 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:40:24,525 basehttp 10704 9096 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:40:24,540 basehttp 10704 21012 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:40:24,541 basehttp 10704 13552 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:40:29,423 basehttp 10704 13552 "GET /he/ww2map/ HTTP/1.1" 200 3434
INFO 2025-04-12 17:40:29,477 basehttp 10704 21012 "GET /static/mapapp/images/down-arrow.svg HTTP/1.1" 200 662
INFO 2025-04-12 17:40:29,480 basehttp 10704 13552 "GET /static/mapapp/css/styles.css HTTP/1.1" 200 11536
INFO 2025-04-12 17:40:29,481 basehttp 10704 21004 "GET /static/mapapp/js/index.js HTTP/1.1" 200 1379
INFO 2025-04-12 17:40:29,483 basehttp 10704 15072 "GET /static/mapapp/images/logo.svg HTTP/1.1" 200 105010
INFO 2025-04-12 17:40:30,242 basehttp 10704 15072 "GET /static/mapapp/js/mapSetup.js HTTP/1.1" 200 1510
INFO 2025-04-12 17:40:30,242 basehttp 10704 21004 "GET /static/mapapp/js/countryLayer.js HTTP/1.1" 200 3047
INFO 2025-04-12 17:40:30,242 basehttp 10704 13552 "GET /static/mapapp/js/modalHandler.js HTTP/1.1" 200 7261
INFO 2025-04-12 17:40:30,242 basehttp 10704 15072 "GET /static/mapapp/js/soldierHandler.js HTTP/1.1" 200 338
INFO 2025-04-12 17:40:30,242 basehttp 10704 13552 "GET /static/mapapp/js/countryClickHandler.js HTTP/1.1" 200 3099
INFO 2025-04-12 17:40:30,242 basehttp 10704 21004 "GET /static/mapapp/js/eventDisplay.js HTTP/1.1" 200 1918
INFO 2025-04-12 17:40:30,258 basehttp 10704 21004 "GET /static/mapapp/js/countryCodeMapping.js HTTP/1.1" 200 6856
WARNING 2025-04-12 17:40:30,307 basehttp 10704 21004 "GET /static/mapapp/favicon.ico HTTP/1.1" 404 1868
INFO 2025-04-12 17:40:35,897 basehttp 10704 15072 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:40:35,910 basehttp 10704 13552 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:40:44,692 basehttp 10704 13552 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:40:44,692 basehttp 10704 21012 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:40:44,694 basehttp 10704 6892 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:40:44,708 basehttp 10704 21184 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:40:44,708 basehttp 10704 21184 "GET /static/mapapp/images/paper-bg.jpg HTTP/1.1" 200 421787
INFO 2025-04-12 17:40:48,881 basehttp 10704 21184 "GET /events/ HTTP/1.1" 302 0
